Ciprofloxacin,Cotrimoxazole,Ceftriaxone,Amoxicillin-Clavulanic acid,Ampicillin-Amoxicillin
0.15679918,0.17882685,0.00041270032,0.014498257,0.3651955
0.3456742,0.096311286,0.0025219112,0.015895668,0.5774926
0.018433837,0.2038193,0.020792287,0.07476358,0.9864318
0.025569668,0.6614889,0.0017663208,0.06823245,0.5158295
0.0009815416,0.02802492,0.0034782952,0.004715777,0.12385057
0.34053212,0.43795013,0.018605292,0.17299616,0.8271962
0.018237868,0.24200188,0.02012948,0.00680309,0.8167269
0.99954396,0.3574854,0.9992842,0.0424494,0.99986005
0.2773016,0.79687893,0.024995912,0.033269186,0.81497097
0.00072500535,0.058894835,0.00042126756,0.032649796,0.1212887
0.003385847,0.005833381,0.00029362607,0.02096824,0.28344044
0.010171366,0.013064389,0.0022882659,0.019634057,0.6691107
0.7460656,0.023190178,0.04666737,0.026391516,0.9081979
0.00045904287,0.043918613,0.0009073997,0.021743469,0.47804946
0.010058804,0.00081935537,0.00049752044,0.009527276,0.17542627
0.0074041286,0.004157811,0.00046717125,0.15773578,0.080424294
0.9869083,0.030638989,0.96528137,0.5146332,0.8715723
0.9906114,0.55279475,0.8142425,0.0056674276,0.8730236
0.0006195941,0.009988091,0.000253322,0.0047880723,0.8355748
0.05543263,0.06586909,0.02320349,0.014841553,0.48281482
0.017513102,0.0408723,0.0026461317,0.0026475755,0.60980767
0.010150323,0.03396407,0.004383718,0.016686948,0.5782048
0.0050365604,0.08225413,0.015341833,0.0016473532,0.78238535
0.005707869,0.034942675,0.003125064,0.01082198,0.68539035
0.010499152,0.0058836895,0.00847538,0.004580006,0.4536881
0.9997415,0.29777333,0.9887671,0.29231328,0.9980976
0.9884184,0.23830904,0.9965327,0.327933,0.9983633
0.003232606,0.13459747,0.006685561,0.023793276,0.7769844
0.00064584584,0.015080856,4.2501146e-05,0.047897562,0.024943605
0.0002099065,0.0037196458,0.00028233675,0.00074377266,0.1591615
0.13213733,0.19055897,0.017307838,0.023017155,0.74478894
0.0011528208,0.04958781,0.0048294673,0.00080791925,0.13516112
0.80638933,0.8796795,0.17579491,0.012073534,0.98207194
0.98601854,0.054332502,0.007971454,0.28331572,0.97499675
0.00050147914,0.021508152,0.0009859998,0.019800376,0.29339948
0.3645335,0.12737842,0.1422007,0.17813335,0.8365845
0.85558647,0.5147045,0.026354564,0.071448885,0.9770876
0.15478493,0.120667614,0.013270135,0.030798407,0.82373524
0.35621193,0.004967932,0.0033098152,0.026194926,0.71041554
0.011005264,0.022607738,0.006501054,0.0007682578,0.21014039
0.013205816,0.004805792,0.0050710696,0.014658908,0.2200079
0.06903561,0.057877146,0.0010282153,0.028412988,0.14867972
0.0026494407,0.04544807,0.16005659,0.010550225,0.41305295
0.78840286,0.32531285,0.8258242,0.3042819,0.9963419
0.009821765,0.037477113,0.012663018,0.081817746,0.15243353
0.50399125,0.093636975,0.81346846,0.13253154,0.9826173
0.010063992,0.019005092,0.0050958665,0.26844078,0.6144078
0.8698143,0.010683295,0.5269375,0.2722486,0.9959884
0.0008747139,0.0037422387,0.0062273066,0.23252095,0.4841677
0.0106273135,0.07674558,0.006523272,0.50679857,0.7796432
0.024636166,0.08900835,0.00012978172,0.055814788,0.8112383
0.019453082,0.4684704,0.4095946,0.0059115873,0.7301056
0.4477884,0.6477199,0.3114631,0.20641044,0.93612796
0.34452766,0.13082325,0.035472527,0.023982374,0.8598152
0.531599,0.75262433,0.06968866,0.002214266,0.97562546
0.40336192,0.7673994,0.11252088,0.0023256151,0.9759681
0.32991803,0.048810523,0.3905308,0.01467433,0.5800538
0.0016235373,0.07060203,0.008436431,0.006826741,0.07178825
0.40870062,0.019761156,0.055176288,0.016958985,0.4087707
0.15253697,0.44535065,0.0036383558,0.037998386,0.8597736
0.02051528,0.33597356,0.003927447,0.035876572,0.9129884
0.07773699,0.4574156,0.07628134,0.76833063,0.97972244
0.9319168,0.4358483,0.0022037316,0.015494632,0.7926303
0.11024377,0.07703641,0.0017794246,0.0103513,0.6967492
0.12373737,0.11192396,0.010474141,0.033408213,0.72193956
0.24606206,0.05646884,0.0042865328,0.010404897,0.7905373
0.7650193,0.70478,0.41790688,0.011361468,0.99839133
0.0025375916,0.10550464,0.0006074425,0.0059457035,0.73608905
0.052344367,0.019230409,0.021866255,0.015632683,0.5633856
0.0071415175,0.025609815,0.003583313,0.12344096,0.35010132
0.0035883987,0.020369623,0.0012641479,0.008476462,0.2617694
0.0069907242,0.010051035,0.0018607465,0.3506672,0.8294077
0.91538477,0.06607852,0.11434045,0.023436302,0.8086664
0.86186695,0.32823917,0.9945846,0.048200466,0.9683754
0.05551489,0.029000832,0.0086929435,0.10691603,0.77975607
