antibiotic,auroc,f1,split,hamming_loss,jaccard_score,seed
Ciprofloxacin,0.8092464776681306,0.5579831932773109,random_seed0,0.24493526275704494,0.2657781162731658,0
Cotrimoxazole,0.6842131925558577,0.34049586776859503,random_seed0,0.24493526275704494,0.2657781162731658,0
Ceftriaxone,0.8699594385514963,0.5797101449275363,random_seed0,0.24493526275704494,0.2657781162731658,0
Amoxicillin-Clavulanic acid,0.630632808571539,0.1787709497206704,random_seed0,0.24493526275704494,0.2657781162731658,0
Ampicillin-Amoxicillin,0.6903139364026827,0.7049382716049383,random_seed0,0.24493526275704494,0.2657781162731658,0
Ciprofloxacin,0.8287276897956417,0.596964586846543,random_seed1,0.24295506473724296,0.2708174663620208,1
Cotrimoxazole,0.6761946503041412,0.36304700162074555,random_seed1,0.24295506473724296,0.2708174663620208,1
Ceftriaxone,0.8915399411789304,0.639618138424821,random_seed1,0.24295506473724296,0.2708174663620208,1
Amoxicillin-Clavulanic acid,0.653399993464693,0.16574585635359115,random_seed1,0.24295506473724296,0.2708174663620208,1
Ampicillin-Amoxicillin,0.6881439372298083,0.6949760765550239,random_seed1,0.24295506473724296,0.2708174663620208,1
Ciprofloxacin,0.8291882911826894,0.5648604269293924,random_seed2,0.2523990860624524,0.2802107133790302,2
Cotrimoxazole,0.6805099007565153,0.3614088820826952,random_seed2,0.2523990860624524,0.2802107133790302,2
Ceftriaxone,0.8634933712830499,0.5794392523364486,random_seed2,0.2523990860624524,0.2802107133790302,2
Amoxicillin-Clavulanic acid,0.6320772345063843,0.14092140921409213,random_seed2,0.2523990860624524,0.2802107133790302,2
Ampicillin-Amoxicillin,0.6880491674028477,0.7201405152224825,random_seed2,0.2523990860624524,0.2802107133790302,2
Ciprofloxacin,0.8352367016505203,0.5917355371900826,random_seed3,0.24493526275704494,0.27876364559532874,3
Cotrimoxazole,0.7032889016930666,0.33914421553090335,random_seed3,0.24493526275704494,0.27876364559532874,3
Ceftriaxone,0.8946710340941111,0.6095238095238096,random_seed3,0.24493526275704494,0.27876364559532874,3
Amoxicillin-Clavulanic acid,0.6609376422394173,0.2113022113022113,random_seed3,0.24493526275704494,0.27876364559532874,3
Ampicillin-Amoxicillin,0.7038410339569668,0.7199511897498475,random_seed3,0.24493526275704494,0.27876364559532874,3
Ciprofloxacin,0.8195657002272299,0.5699658703071673,random_seed4,0.25057121096725055,0.26881188118811883,4
Cotrimoxazole,0.6826343690951081,0.32038834951456313,random_seed4,0.25057121096725055,0.26881188118811883,4
Ceftriaxone,0.8891821243653546,0.5985037406483791,random_seed4,0.25057121096725055,0.26881188118811883,4
Amoxicillin-Clavulanic acid,0.634980288124977,0.15897435897435896,random_seed4,0.25057121096725055,0.26881188118811883,4
Ampicillin-Amoxicillin,0.6920465405198777,0.7059538274605103,random_seed4,0.25057121096725055,0.26881188118811883,4
Ciprofloxacin,0.817091684434968,0.5342960288808665,random_seed5,0.24265041888804265,0.26920538207666916,5
Cotrimoxazole,0.6813815286143767,0.351575456053068,random_seed5,0.24265041888804265,0.26920538207666916,5
Ceftriaxone,0.8795055212167511,0.6070460704607046,random_seed5,0.24265041888804265,0.26920538207666916,5
Amoxicillin-Clavulanic acid,0.6428236340595603,0.17616580310880828,random_seed5,0.24265041888804265,0.26920538207666916,5
Ampicillin-Amoxicillin,0.6768194197750148,0.7058103975535168,random_seed5,0.24265041888804265,0.26920538207666916,5
Ciprofloxacin,0.8092033352218426,0.543859649122807,random_seed6,0.24935262757044935,0.2730896166539731,6
Cotrimoxazole,0.6613829759379991,0.3113964686998395,random_seed6,0.24935262757044935,0.2730896166539731,6
Ceftriaxone,0.8673426650501488,0.5888594164456233,random_seed6,0.24935262757044935,0.2730896166539731,6
Amoxicillin-Clavulanic acid,0.6259909159232755,0.1712707182320442,random_seed6,0.24935262757044935,0.2730896166539731,6
Ampicillin-Amoxicillin,0.6844492420153586,0.7053197848176928,random_seed6,0.24935262757044935,0.2730896166539731,6
Ciprofloxacin,0.8068798862828714,0.5618374558303887,random_seed7,0.2466108149276466,0.2720741304899721,7
Cotrimoxazole,0.6546068958234332,0.3261943986820428,random_seed7,0.2466108149276466,0.2720741304899721,7
Ceftriaxone,0.8749847397864288,0.628992628992629,random_seed7,0.2466108149276466,0.2720741304899721,7
Amoxicillin-Clavulanic acid,0.6306095444956247,0.09863013698630137,random_seed7,0.2466108149276466,0.2720741304899721,7
Ampicillin-Amoxicillin,0.6839239430838039,0.707168894289186,random_seed7,0.2466108149276466,0.2720741304899721,7
Ciprofloxacin,0.8423478482302011,0.5804195804195804,random_seed8,0.23594821020563594,0.2730769230769231,8
Cotrimoxazole,0.6799564888384413,0.3415435139573071,random_seed8,0.23594821020563594,0.2730769230769231,8
Ceftriaxone,0.8842501278398714,0.6142131979695431,random_seed8,0.23594821020563594,0.2730769230769231,8
Amoxicillin-Clavulanic acid,0.6803450642093913,0.22160664819944598,random_seed8,0.23594821020563594,0.2730769230769231,8
Ampicillin-Amoxicillin,0.6921019989504318,0.7051520794537555,random_seed8,0.23594821020563594,0.2730769230769231,8
Ciprofloxacin,0.8204767517013267,0.571900826446281,random_seed9,0.25224676313785227,0.2778116273165778,9
Cotrimoxazole,0.6881458297290072,0.3198707592891761,random_seed9,0.25224676313785227,0.2778116273165778,9
Ceftriaxone,0.8783732656444547,0.5915492957746479,random_seed9,0.25224676313785227,0.2778116273165778,9
Amoxicillin-Clavulanic acid,0.6533828336776026,0.17543859649122806,random_seed9,0.25224676313785227,0.2778116273165778,9
Ampicillin-Amoxicillin,0.6780311761655046,0.7232299590403745,random_seed9,0.25224676313785227,0.2778116273165778,9
