antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard,all_zero_frac,chain_baseline_agreement,seed
Ceftriaxone,0.8139753677728361,0.4689655172413793,random_seed0,option_a,0.14724091520861374,0.035441902198295204,0.7191565724540153,0.7052489905787349,0.11253561253561252,0.9488559892328399,0.9300134589502019,0
Piperacillin-Tazobactam,0.6757300379127716,0.2733812949640288,random_seed0,option_a,0.14724091520861374,0.035441902198295204,0.7191565724540153,0.7052489905787349,0.11253561253561252,0.9488559892328399,0.9300134589502019,0
Tobramycin,0.6907600347291792,0.26666666666666666,random_seed0,option_a,0.14724091520861374,0.035441902198295204,0.7191565724540153,0.7052489905787349,0.11253561253561252,0.9488559892328399,0.9300134589502019,0
Ciprofloxacin,0.6539745627980924,0.2598870056497175,random_seed0,option_a,0.14724091520861374,0.035441902198295204,0.7191565724540153,0.7052489905787349,0.11253561253561252,0.9488559892328399,0.9300134589502019,0
Cotrimoxazole,0.6621446096117766,0.25,random_seed0,option_a,0.14724091520861374,0.035441902198295204,0.7191565724540153,0.7052489905787349,0.11253561253561252,0.9488559892328399,0.9300134589502019,0
Cotrimoxazole,0.688854297672309,0.10810810810810811,random_seed0,reverse_order,0.16446837146702556,0.014087034544638851,0.6964558097801705,0.6904441453566622,0.04472934472934472,0.9690444145356663,0.9434724091520862,0
Ciprofloxacin,0.6752100840336135,0.06369426751592357,random_seed0,reverse_order,0.16446837146702556,0.014087034544638851,0.6964558097801705,0.6904441453566622,0.04472934472934472,0.9690444145356663,0.9434724091520862,0
Tobramycin,0.6442262739597943,0.061855670103092786,random_seed0,reverse_order,0.16446837146702556,0.014087034544638851,0.6964558097801705,0.6904441453566622,0.04472934472934472,0.9690444145356663,0.9434724091520862,0
Piperacillin-Tazobactam,0.7122825803837582,0.06956521739130435,random_seed0,reverse_order,0.16446837146702556,0.014087034544638851,0.6964558097801705,0.6904441453566622,0.04472934472934472,0.9690444145356663,0.9434724091520862,0
Ceftriaxone,0.750983578515224,0.17886178861788618,random_seed0,reverse_order,0.16446837146702556,0.014087034544638851,0.6964558097801705,0.6904441453566622,0.04472934472934472,0.9690444145356663,0.9434724091520862,0
Ceftriaxone,0.7996347801657535,0.42758620689655175,random_seed1,option_a,0.13728129205921938,0.0291161956034096,0.7343651861821444,0.721399730820996,0.09969278033794163,0.9542395693135935,0.927321668909825,1
Piperacillin-Tazobactam,0.6869775762622992,0.23076923076923078,random_seed1,option_a,0.13728129205921938,0.0291161956034096,0.7343651861821444,0.721399730820996,0.09969278033794163,0.9542395693135935,0.927321668909825,1
Tobramycin,0.6236092480075751,0.22,random_seed1,option_a,0.13728129205921938,0.0291161956034096,0.7343651861821444,0.721399730820996,0.09969278033794163,0.9542395693135935,0.927321668909825,1
Ciprofloxacin,0.5920763578516779,0.21656050955414013,random_seed1,option_a,0.13728129205921938,0.0291161956034096,0.7343651861821444,0.721399730820996,0.09969278033794163,0.9542395693135935,0.927321668909825,1
Cotrimoxazole,0.6300029072584553,0.25,random_seed1,option_a,0.13728129205921938,0.0291161956034096,0.7343651861821444,0.721399730820996,0.09969278033794163,0.9542395693135935,0.927321668909825,1
Cotrimoxazole,0.6653139839131699,0.20118343195266272,random_seed1,reverse_order,0.14535666218034993,0.0199416778824585,0.7157694033198743,0.7092866756393001,0.06827956989247312,0.955585464333782,0.9434724091520862,1
Ciprofloxacin,0.6392823775976567,0.13513513513513514,random_seed1,reverse_order,0.14535666218034993,0.0199416778824585,0.7157694033198743,0.7092866756393001,0.06827956989247312,0.955585464333782,0.9434724091520862,1
Tobramycin,0.6430205949656751,0.13333333333333333,random_seed1,reverse_order,0.14535666218034993,0.0199416778824585,0.7157694033198743,0.7092866756393001,0.06827956989247312,0.955585464333782,0.9434724091520862,1
Piperacillin-Tazobactam,0.6826748095370284,0.1694915254237288,random_seed1,reverse_order,0.14535666218034993,0.0199416778824585,0.7157694033198743,0.7092866756393001,0.06827956989247312,0.955585464333782,0.9434724091520862,1
Ceftriaxone,0.7244697288945077,0.24060150375939848,random_seed1,reverse_order,0.14535666218034993,0.0199416778824585,0.7157694033198743,0.7092866756393001,0.06827956989247312,0.955585464333782,0.9434724091520862,1
Ceftriaxone,0.8311262707330124,0.5185185185185185,random_seed2,option_a,0.13351278600269179,0.04412292507851054,0.7345670704351727,0.7160161507402423,0.1450589970501475,0.9340511440107672,0.8977119784656796,2
Piperacillin-Tazobactam,0.7079748698211455,0.32653061224489793,random_seed2,option_a,0.13351278600269179,0.04412292507851054,0.7345670704351727,0.7160161507402423,0.1450589970501475,0.9340511440107672,0.8977119784656796,2
Tobramycin,0.7440416247062773,0.4,random_seed2,option_a,0.13351278600269179,0.04412292507851054,0.7345670704351727,0.7160161507402423,0.1450589970501475,0.9340511440107672,0.8977119784656796,2
Ciprofloxacin,0.6880918112264223,0.3151515151515151,random_seed2,option_a,0.13351278600269179,0.04412292507851054,0.7345670704351727,0.7160161507402423,0.1450589970501475,0.9340511440107672,0.8977119784656796,2
Cotrimoxazole,0.7036676403765012,0.33170731707317075,random_seed2,option_a,0.13351278600269179,0.04412292507851054,0.7345670704351727,0.7160161507402423,0.1450589970501475,0.9340511440107672,0.8977119784656796,2
Cotrimoxazole,0.7261170615600995,0.29411764705882354,random_seed2,reverse_order,0.15047106325706594,0.035531628532974424,0.7205921938088831,0.7052489905787349,0.1168141592920354,0.9327052489905787,0.9232839838492598,2
Ciprofloxacin,0.6684847107542358,0.14666666666666667,random_seed2,reverse_order,0.15047106325706594,0.035531628532974424,0.7205921938088831,0.7052489905787349,0.1168141592920354,0.9327052489905787,0.9232839838492598,2
Tobramycin,0.7266047517809855,0.1875,random_seed2,reverse_order,0.15047106325706594,0.035531628532974424,0.7205921938088831,0.7052489905787349,0.1168141592920354,0.9327052489905787,0.9232839838492598,2
Piperacillin-Tazobactam,0.7083427665836541,0.128,random_seed2,reverse_order,0.15047106325706594,0.035531628532974424,0.7205921938088831,0.7052489905787349,0.1168141592920354,0.9327052489905787,0.9232839838492598,2
Ceftriaxone,0.7798822899946495,0.3150684931506849,random_seed2,reverse_order,0.15047106325706594,0.035531628532974424,0.7205921938088831,0.7052489905787349,0.1168141592920354,0.9327052489905787,0.9232839838492598,2
Ceftriaxone,0.8021080800633515,0.3724137931034483,random_seed3,option_a,0.13701211305518168,0.02835352175863616,0.7295648272768057,0.7187079407806191,0.09575757575757575,0.955585464333782,0.9205921938088829,3
Piperacillin-Tazobactam,0.6807657801059241,0.23880597014925373,random_seed3,option_a,0.13701211305518168,0.02835352175863616,0.7295648272768057,0.7187079407806191,0.09575757575757575,0.955585464333782,0.9205921938088829,3
Tobramycin,0.665357673530036,0.2608695652173913,random_seed3,option_a,0.13701211305518168,0.02835352175863616,0.7295648272768057,0.7187079407806191,0.09575757575757575,0.955585464333782,0.9205921938088829,3
Ciprofloxacin,0.6676543275490953,0.2222222222222222,random_seed3,option_a,0.13701211305518168,0.02835352175863616,0.7295648272768057,0.7187079407806191,0.09575757575757575,0.955585464333782,0.9205921938088829,3
Cotrimoxazole,0.6842440093306,0.2,random_seed3,option_a,0.13701211305518168,0.02835352175863616,0.7295648272768057,0.7187079407806191,0.09575757575757575,0.955585464333782,0.9205921938088829,3
Cotrimoxazole,0.6996065125703919,0.22485207100591717,random_seed3,reverse_order,0.13970390309555855,0.02240915208613728,0.7195827725437416,0.7106325706594886,0.07568181818181817,0.9623149394347241,0.9340511440107672,3
Ciprofloxacin,0.6744970901650235,0.18439716312056736,random_seed3,reverse_order,0.13970390309555855,0.02240915208613728,0.7195827725437416,0.7106325706594886,0.07568181818181817,0.9623149394347241,0.9340511440107672,3
Tobramycin,0.75037147102526,0.1686746987951807,random_seed3,reverse_order,0.13970390309555855,0.02240915208613728,0.7195827725437416,0.7106325706594886,0.07568181818181817,0.9623149394347241,0.9340511440107672,3
Piperacillin-Tazobactam,0.6698550053540937,0.192,random_seed3,reverse_order,0.13970390309555855,0.02240915208613728,0.7195827725437416,0.7106325706594886,0.07568181818181817,0.9623149394347241,0.9340511440107672,3
Ceftriaxone,0.7863793997979301,0.23703703703703705,random_seed3,reverse_order,0.13970390309555855,0.02240915208613728,0.7195827725437416,0.7106325706594886,0.07568181818181817,0.9623149394347241,0.9340511440107672,3
Ceftriaxone,0.8239534999750536,0.5303867403314917,random_seed4,option_a,0.15343203230148048,0.04789143113503814,0.706034096007178,0.6837146702557201,0.14120370370370372,0.927321668909825,0.9044414535666218,4
Piperacillin-Tazobactam,0.733805826254625,0.3592814371257485,random_seed4,option_a,0.15343203230148048,0.04789143113503814,0.706034096007178,0.6837146702557201,0.14120370370370372,0.927321668909825,0.9044414535666218,4
Tobramycin,0.7696048632218845,0.36363636363636365,random_seed4,option_a,0.15343203230148048,0.04789143113503814,0.706034096007178,0.6837146702557201,0.14120370370370372,0.927321668909825,0.9044414535666218,4
Ciprofloxacin,0.6429846564074752,0.27807486631016043,random_seed4,option_a,0.15343203230148048,0.04789143113503814,0.706034096007178,0.6837146702557201,0.14120370370370372,0.927321668909825,0.9044414535666218,4
Cotrimoxazole,0.6566349244375236,0.23853211009174313,random_seed4,option_a,0.15343203230148048,0.04789143113503814,0.706034096007178,0.6837146702557201,0.14120370370370372,0.927321668909825,0.9044414535666218,4
Cotrimoxazole,0.7112056057974486,0.25688073394495414,random_seed4,reverse_order,0.16823687752355315,0.029452669358456706,0.6795199641094661,0.6675639300134589,0.08683862433862434,0.9407806191117093,0.9125168236877523,4
Ciprofloxacin,0.6552889069667592,0.192090395480226,random_seed4,reverse_order,0.16823687752355315,0.029452669358456706,0.6795199641094661,0.6675639300134589,0.08683862433862434,0.9407806191117093,0.9125168236877523,4
Tobramycin,0.6993384587877703,0.17307692307692307,random_seed4,reverse_order,0.16823687752355315,0.029452669358456706,0.6795199641094661,0.6675639300134589,0.08683862433862434,0.9407806191117093,0.9125168236877523,4
Piperacillin-Tazobactam,0.6514018448069205,0.1527777777777778,random_seed4,reverse_order,0.16823687752355315,0.029452669358456706,0.6795199641094661,0.6675639300134589,0.08683862433862434,0.9407806191117093,0.9125168236877523,4
Ceftriaxone,0.7556877712917228,0.2911392405063291,random_seed4,reverse_order,0.16823687752355315,0.029452669358456706,0.6795199641094661,0.6675639300134589,0.08683862433862434,0.9407806191117093,0.9125168236877523,4
Ceftriaxone,0.8174692954104719,0.46835443037974683,random_seed5,option_a,0.15720053835800807,0.03263795423956932,0.6988559892328399,0.676985195154778,0.09897959183673469,0.9421265141318977,0.9232839838492598,5
Piperacillin-Tazobactam,0.7167338408717718,0.24817518248175183,random_seed5,option_a,0.15720053835800807,0.03263795423956932,0.6988559892328399,0.676985195154778,0.09897959183673469,0.9421265141318977,0.9232839838492598,5
Tobramycin,0.6217410764238558,0.14414414414414414,random_seed5,option_a,0.15720053835800807,0.03263795423956932,0.6988559892328399,0.676985195154778,0.09897959183673469,0.9421265141318977,0.9232839838492598,5
