antibiotic,auroc,f1,split,order_name,hamming_loss,jaccard_score,jaccard_score_zd1,exact_match_ratio,restricted_jaccard,all_zero_frac,chain_baseline_agreement,seed
Piperacillin-Tazobactam,0.5667752442996743,0.0,random_seed0,option_a,0.09757489300998573,0.0014265335235378032,0.7589158345221113,0.7589158345221113,0.0058823529411764705,0.9985734664764622,0.9957203994293866,0
Cefepime,0.656732223903177,0.0,random_seed0,option_a,0.09757489300998573,0.0014265335235378032,0.7589158345221113,0.7589158345221113,0.0058823529411764705,0.9985734664764622,0.9957203994293866,0
Ceftazidime,0.5821559245707852,0.0,random_seed0,option_a,0.09757489300998573,0.0014265335235378032,0.7589158345221113,0.7589158345221113,0.0058823529411764705,0.9985734664764622,0.9957203994293866,0
Meropenem,0.5966786022965799,0.0,random_seed0,option_a,0.09757489300998573,0.0014265335235378032,0.7589158345221113,0.7589158345221113,0.0058823529411764705,0.9985734664764622,0.9957203994293866,0
Ciprofloxacin,0.6495106640152843,0.023809523809523808,random_seed0,option_a,0.09757489300998573,0.0014265335235378032,0.7589158345221113,0.7589158345221113,0.0058823529411764705,0.9985734664764622,0.9957203994293866,0
Ciprofloxacin,0.6755760907708503,0.023529411764705882,random_seed0,reverse_order,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0.9971469329529244,1.0,0
Meropenem,0.6227517800551509,0.0,random_seed0,reverse_order,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0.9971469329529244,1.0,0
Ceftazidime,0.5374331550802138,0.0,random_seed0,reverse_order,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0.9971469329529244,1.0,0
Cefepime,0.5829046898638427,0.0,random_seed0,reverse_order,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0.9971469329529244,1.0,0
Piperacillin-Tazobactam,0.5580890336590663,0.0,random_seed0,reverse_order,0.0978601997146933,0.0014265335235378032,0.7574893009985735,0.7574893009985735,0.0058823529411764705,0.9971469329529244,1.0,0
Piperacillin-Tazobactam,0.5976556158067344,0.0,random_seed1,option_a,0.1115549215406562,0.0,0.738944365192582,0.738944365192582,0.0,0.9985734664764622,0.9942938659058488,1
Cefepime,0.6465033180193976,0.0,random_seed1,option_a,0.1115549215406562,0.0,0.738944365192582,0.738944365192582,0.0,0.9985734664764622,0.9942938659058488,1
Ceftazidime,0.5315718763994626,0.0,random_seed1,option_a,0.1115549215406562,0.0,0.738944365192582,0.738944365192582,0.0,0.9985734664764622,0.9942938659058488,1
Meropenem,0.6351314078568895,0.0,random_seed1,option_a,0.1115549215406562,0.0,0.738944365192582,0.738944365192582,0.0,0.9985734664764622,0.9942938659058488,1
Ciprofloxacin,0.7008132076133058,0.0,random_seed1,option_a,0.1115549215406562,0.0,0.738944365192582,0.738944365192582,0.0,0.9985734664764622,0.9942938659058488,1
Ciprofloxacin,0.6983420379263208,0.041237113402061855,random_seed1,reverse_order,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,0.9957203994293866,1.0,1
Meropenem,0.5595571141494937,0.0,random_seed1,reverse_order,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,0.9957203994293866,1.0,1
Ceftazidime,0.5811315121659948,0.0,random_seed1,reverse_order,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,0.9957203994293866,1.0,1
Cefepime,0.6598072996426748,0.0,random_seed1,reverse_order,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,0.9957203994293866,1.0,1
Piperacillin-Tazobactam,0.5538364126375946,0.0,random_seed1,reverse_order,0.11098430813124108,0.001783166904422254,0.7407275320970043,0.7403708987161198,0.006868131868131868,0.9957203994293866,1.0,1
Piperacillin-Tazobactam,0.6196805111821085,0.0,random_seed2,option_a,0.09329529243937233,0.003328578221588207,0.7650974797907751,0.7646219686162625,0.014314928425357872,0.9871611982881597,0.9885877318116976,2
Cefepime,0.6066518847006652,0.0,random_seed2,option_a,0.09329529243937233,0.003328578221588207,0.7650974797907751,0.7646219686162625,0.014314928425357872,0.9871611982881597,0.9885877318116976,2
Ceftazidime,0.6378441811208426,0.0,random_seed2,option_a,0.09329529243937233,0.003328578221588207,0.7650974797907751,0.7646219686162625,0.014314928425357872,0.9871611982881597,0.9885877318116976,2
Meropenem,0.580234497645212,0.0,random_seed2,option_a,0.09329529243937233,0.003328578221588207,0.7650974797907751,0.7646219686162625,0.014314928425357872,0.9871611982881597,0.9885877318116976,2
Ciprofloxacin,0.6467812999571101,0.06976744186046512,random_seed2,option_a,0.09329529243937233,0.003328578221588207,0.7650974797907751,0.7646219686162625,0.014314928425357872,0.9871611982881597,0.9885877318116976,2
Ciprofloxacin,0.6696104807579834,0.0,random_seed2,reverse_order,0.09044222539229672,0.0,0.7674750356633381,0.7674750356633381,0.0,1.0,0.9900142653352354,2
Meropenem,0.6040276687598115,0.0,random_seed2,reverse_order,0.09044222539229672,0.0,0.7674750356633381,0.7674750356633381,0.0,1.0,0.9900142653352354,2
Ceftazidime,0.5983456408495048,0.0,random_seed2,reverse_order,0.09044222539229672,0.0,0.7674750356633381,0.7674750356633381,0.0,1.0,0.9900142653352354,2
Cefepime,0.535070214338507,0.0,random_seed2,reverse_order,0.09044222539229672,0.0,0.7674750356633381,0.7674750356633381,0.0,1.0,0.9900142653352354,2
Piperacillin-Tazobactam,0.5780830670926518,0.0,random_seed2,reverse_order,0.09044222539229672,0.0,0.7674750356633381,0.7674750356633381,0.0,1.0,0.9900142653352354,2
Piperacillin-Tazobactam,0.6795368421052631,0.0,random_seed3,option_a,0.08701854493580599,0.0,0.7717546362339515,0.7717546362339515,0.0,1.0,0.9957203994293866,3
