species,antibiotic_a,antibiotic_b,n_jointly_labeled,value_agreement,missingness_agreement
ecoli,Piperacillin-Tazobactam,Meropenem,4863,0.9148673658235656,0.989344262295082
ecoli,Piperacillin-Tazobactam,Ciprofloxacin,4870,0.7123203285420945,0.9841530054644809
ecoli,Piperacillin-Tazobactam,Cefepime,4870,0.8078028747433265,0.9841530054644809
ecoli,Piperacillin-Tazobactam,Cotrimoxazole,4863,0.6837343203783672,0.9834699453551913
ecoli,Piperacillin-Tazobactam,Ceftazidime,4862,0.7963800904977375,0.9889344262295082
ecoli,Piperacillin-Tazobactam,Amikacin,4862,0.881530234471411,0.9889344262295082
ecoli,Piperacillin-Tazobactam,Levofloxacin,4859,0.7124922823626261,0.9886612021857923
ecoli,Piperacillin-Tazobactam,Imipenem,4862,0.9156725627313863,0.9890710382513661
ecoli,Piperacillin-Tazobactam,Tobramycin,4862,0.8445084327437269,0.9889344262295082
ecoli,Piperacillin-Tazobactam,Ceftriaxone,4870,0.7767967145790554,0.983879781420765
ecoli,Piperacillin-Tazobactam,Colistin,4861,0.9103065212919152,0.9887978142076502
ecoli,Piperacillin-Tazobactam,Amoxicillin-Clavulanic acid,4865,0.8182939362795478,0.9834699453551913
ecoli,Piperacillin-Tazobactam,Ampicillin-Amoxicillin,4857,0.4836318715256331,0.9882513661202186
ecoli,Piperacillin-Tazobactam,Ertapenem,4870,0.9203285420944558,0.9841530054644809
ecoli,Piperacillin-Tazobactam,Cefpodoxime,2020,0.6435643564356436,0.601775956284153
ecoli,Piperacillin-Tazobactam,Norfloxacin,1444,0.7403047091412742,0.5241803278688525
ecoli,Piperacillin-Tazobactam,Fosfomycin-Trometamol,1444,0.9369806094182825,0.5239071038251366
ecoli,Piperacillin-Tazobactam,Nitrofurantoin,1442,0.9535367545076283,0.5239071038251366
ecoli,Meropenem,Ciprofloxacin,4934,0.694162950952574,0.992896174863388
ecoli,Meropenem,Cefepime,4934,0.8121199837859748,0.992896174863388
ecoli,Meropenem,Cotrimoxazole,4934,0.6613295500608026,0.9941256830601093
ecoli,Meropenem,Ceftazidime,4933,0.800932495438881,0.9995901639344262
ecoli,Meropenem,Amikacin,4933,0.9170889924994932,0.9995901639344262
ecoli,Meropenem,Levofloxacin,4930,0.6939148073022312,0.9993169398907104
ecoli,Meropenem,Imipenem,4933,0.9981755524021894,0.9997267759562841
ecoli,Meropenem,Tobramycin,4933,0.8589093857693088,0.9995901639344262
ecoli,Meropenem,Ceftriaxone,4934,0.7756384272395622,0.9926229508196721
ecoli,Meropenem,Colistin,4932,0.9937145174371452,0.9994535519125683
ecoli,Meropenem,Amoxicillin-Clavulanic acid,4927,0.7326973817738989,0.9916666666666667
ecoli,Meropenem,Ampicillin-Amoxicillin,4928,0.3977272727272727,0.9989071038251366
ecoli,Meropenem,Ertapenem,4934,0.9939197405755978,0.992896174863388
ecoli,Meropenem,Cefpodoxime,2081,0.5776069197501201,0.6096994535519126
ecoli,Meropenem,Norfloxacin,1501,0.7315123251165889,0.5310109289617486
ecoli,Meropenem,Fosfomycin-Trometamol,1501,0.9746835443037974,0.5307377049180327
ecoli,Meropenem,Nitrofurantoin,1499,0.9886591060707138,0.5307377049180327
