antibiotic,method,threshold,auroc,f1_at_0.5,f1_at_tuned,precision,recall,true_rate,pred_rate
Ciprofloxacin,naive_f1,0.075084955,0.7242709643452573,0.3782696177062374,0.5016077170418006,0.40695652173913044,0.6536312849162011,0.27265803503427266,0.43792840822543794
Ciprofloxacin,calibration,0.1497375,0.7242709643452573,0.3782696177062374,0.5,0.48429319371727747,0.5167597765363129,0.27265803503427266,0.2909367859862909
Cotrimoxazole,naive_f1,0.07575649,0.6169157699841683,0.28109854604200324,0.5099540581929556,0.37373737373737376,0.8024096385542169,0.31607006854531605,0.6785986290936786
Cotrimoxazole,calibration,0.23550408,0.6169157699841683,0.28109854604200324,0.43278688524590164,0.396,0.4771084337349398,0.31607006854531605,0.38080731150038083
Ceftriaxone,naive_f1,0.046927582,0.7951343584964274,0.3050847457627119,0.5263157894736842,0.45454545454545453,0.625,0.1827875095201828,0.25133282559025133
Ceftriaxone,calibration,0.0524887,0.7951343584964274,0.3050847457627119,0.5360443622920518,0.48172757475083056,0.6041666666666666,0.1827875095201828,0.22924600152322924
Amoxicillin-Clavulanic acid,naive_f1,0.0030498395,0.5641198681040815,0.031088082901554404,0.44318895166352795,0.2895816242821985,0.9438502673796791,0.28484386900228487,0.9284082254379284
Amoxicillin-Clavulanic acid,calibration,0.081706315,0.5641198681040815,0.031088082901554404,0.30577223088923555,0.36704119850187267,0.2620320855614973,0.28484386900228487,0.20335110434120335
Ampicillin-Amoxicillin,naive_f1,0.014709418,0.597738179133528,0.7126050420168067,0.7417345471969334,0.5894897182025894,1.0,0.5894897182025894,1.0
Ampicillin-Amoxicillin,calibration,0.6075262,0.597738179133528,0.7126050420168067,0.6876111440426793,0.6352683461117196,0.7493540051679587,0.5894897182025894,0.6953541507996953
