antibiotic,method,threshold,auroc,f1_at_0.5,f1_at_tuned,precision,recall,true_rate,pred_rate
Ceftriaxone,naive_f1,0.071024984,0.7111644394253089,0.019801980198019802,0.4021164021164021,0.4222222222222222,0.3838383838383838,0.13324360699865412,0.12113055181695828
Ceftriaxone,calibration,0.071024984,0.7111644394253089,0.019801980198019802,0.4021164021164021,0.4222222222222222,0.3838383838383838,0.13324360699865412,0.12113055181695828
Tobramycin,naive_f1,0.011900272,0.6901334004530582,0.0,0.2222222222222222,0.14772727272727273,0.4482758620689655,0.07806191117092867,0.23687752355316286
Tobramycin,calibration,0.02569096,0.6901334004530582,0.0,0.22058823529411764,0.19230769230769232,0.25862068965517243,0.07806191117092867,0.10497981157469717
Piperacillin-Tazobactam,naive_f1,0.0060188705,0.7083374689826303,0.02040816326530612,0.2857142857142857,0.17218543046357615,0.8387096774193549,0.12516823687752354,0.6096904441453567
Piperacillin-Tazobactam,calibration,0.06085418,0.7083374689826303,0.02040816326530612,0.2692307692307692,0.24347826086956523,0.3010752688172043,0.12516823687752354,0.15477792732166892
Ciprofloxacin,naive_f1,0.011916645,0.5607358327946563,0.032520325203252036,0.2857142857142857,0.17805383022774326,0.7226890756302521,0.1601615074024226,0.6500672947510094
Ciprofloxacin,calibration,0.04043041,0.5607358327946563,0.032520325203252036,0.2436548223350254,0.17454545454545456,0.40336134453781514,0.1601615074024226,0.37012113055181695
Cotrimoxazole,naive_f1,0.006231578,0.5672041789688849,0.012987012987012988,0.33421052631578946,0.20751633986928106,0.8581081081081081,0.19919246298788695,0.8236877523553163
Cotrimoxazole,calibration,0.0685867,0.5672041789688849,0.012987012987012988,0.28823529411764703,0.2552083333333333,0.3310810810810811,0.19919246298788695,0.25841184387617766
