antibiotic,method,threshold,auroc,f1_at_0.5,f1_at_tuned,precision,recall,true_rate,pred_rate
Penicillin,naive_f1,0.11279679,0.6610467736902326,0.8251986379114642,0.8347921225382933,0.7171052631578947,0.9986910994764397,0.7166979362101313,0.99812382739212
Penicillin,calibration,0.82640207,0.6610467736902326,0.8251986379114642,0.7569721115537849,0.7681940700808625,0.7460732984293194,0.7166979362101313,0.6960600375234521
Erythromycin,naive_f1,0.009008812,0.5710542650854324,0.17040358744394618,0.27517447657028915,0.1658653846153846,0.8070175438596491,0.16041275797373358,0.7804878048780488
Erythromycin,calibration,0.12731881,0.5710542650854324,0.17040358744394618,0.27522935779816515,0.22641509433962265,0.3508771929824561,0.16041275797373358,0.24859287054409004
Clindamycin,naive_f1,0.02219737,0.608758612279739,0.09411764705882353,0.27218934911242604,0.17228464419475656,0.647887323943662,0.13320825515947468,0.50093808630394
Clindamycin,calibration,0.11261197,0.608758612279739,0.09411764705882353,0.2881844380403458,0.24390243902439024,0.352112676056338,0.13320825515947468,0.19230769230769232
Oxacillin,naive_f1,0.09385268,0.7425893519991515,0.27053140096618356,0.47745358090185674,0.430622009569378,0.5357142857142857,0.1575984990619137,0.19606003752345216
Oxacillin,calibration,0.09263316,0.7425893519991515,0.27053140096618356,0.47745358090185674,0.430622009569378,0.5357142857142857,0.1575984990619137,0.19606003752345216
Ciprofloxacin,naive_f1,0.021387152,0.6537534311970402,0.18543046357615894,0.3486238532110092,0.296875,0.4222222222222222,0.12664165103189493,0.1801125703564728
Ciprofloxacin,calibration,0.016473545,0.6537534311970402,0.18543046357615894,0.32222222222222224,0.2577777777777778,0.42962962962962964,0.12664165103189493,0.21106941838649157
